,Analysis,Mean time,Highways,Instances
0,Colisão,0.2103222370147705,10,1
1,Total,2.0067108681327417,10,1
2,Carros proibidos de circular,0.36140644550323486,10,1
3,Direção perigosa,0.19848638772964478,10,1
4,Veículos acima da velocidade,0.6031432628631592,10,1
5,Top 100,0.9887020336954218,10,1
6,Histórico,0.799278199672699,10,1
7,Estatísticas gerais,1.0108089447021484,10,1
