,Analysis,Mean time,Highways,Instances
0,Veículos acima da velocidade,0.7222325086593628,100,1
1,Histórico,0.8941687703132629,100,1
2,Top 100,1.0902350450816907,100,1
3,Estatísticas gerais,1.216488254070282,100,1
4,Carros proibidos de circular,0.3688652515411377,100,1
5,Colisão,0.25620015859603884,100,1
6,Total,2.314764148310611,100,1
7,Direção perigosa,0.20616961717605592,100,1
