,Analysis,Mean time,Highways,Instances
0,Estatísticas gerais,1.1010953426361083,20,1
1,Direção perigosa,0.21428707838058472,20,1
2,Histórico,0.8248519420623779,20,1
3,Top 100,1.0315549750077098,20,1
4,Carros proibidos de circular,0.3872199416160583,20,1
5,Colisão,0.23468053340911865,20,1
6,Total,2.1422274489151802,20,1
7,Veículos acima da velocidade,0.6656763076782226,20,1
