,Analysis,Mean time,Highways,Instances
0,Estatísticas gerais,1.0414611101150513,40,1
1,Direção perigosa,0.2111891269683838,40,1
2,Histórico,0.7999893426895142,40,1
3,Top 100,0.9725585862209922,40,1
4,Carros proibidos de circular,0.3717394471168518,40,1
5,Colisão,0.21653892993927001,40,1
6,Total,2.0076378395682886,40,1
7,Veículos acima da velocidade,0.6342741131782532,40,1
