,Analysis,Mean time,Highways,Instances
0,Veículos acima da velocidade,0.6437292218208313,70,1
1,Histórico,0.848749327659607,70,1
2,Top 100,1.0154297226353695,70,1
3,Estatísticas gerais,1.0848413348197936,70,1
4,Carros proibidos de circular,0.3707732319831848,70,1
5,Colisão,0.226528799533844,70,1
6,Total,2.1070972743787264,70,1
7,Direção perigosa,0.2033478856086731,70,1
