100,J37,52,1,2023-06-17T12:18:54.445-03:00,1047,14
100,D16,57,1,2023-06-17T12:18:54.448-03:00,1047,14
100,X47,938,2,2023-06-17T12:18:54.447-03:00,1047,14
100,N89,979,3,2023-06-17T12:18:54.443-03:00,1047,14
100,I43,990,3,2023-06-17T12:18:54.444-03:00,1047,14
100,V80,61,0,2023-06-17T12:18:54.442-03:00,1047,14
100,N89,975,3,2023-06-17T12:18:57.224-03:00,1047,14
100,D16,67,1,2023-06-17T12:18:57.238-03:00,1047,14
100,I43,986,3,2023-06-17T12:18:57.230-03:00,1047,14
100,U56,72,1,2023-06-17T12:18:57.227-03:00,1047,14
100,J37,59,0,2023-06-17T12:18:57.235-03:00,1047,14
100,V80,65,0,2023-06-17T12:18:57.216-03:00,1047,14
100,X47,928,2,2023-06-17T12:18:57.236-03:00,1047,14
100,U56,76,1,2023-06-17T12:18:58.929-03:00,1047,14
100,V80,69,0,2023-06-17T12:18:58.929-03:00,1047,14
100,D16,75,0,2023-06-17T12:18:58.932-03:00,1047,14
100,J37,64,1,2023-06-17T12:18:58.930-03:00,1047,14
100,I43,982,3,2023-06-17T12:18:58.933-03:00,1047,14
100,Z35,1031,3,2023-06-17T12:18:58.936-03:00,1047,14
100,X47,920,2,2023-06-17T12:18:58.933-03:00,1047,14
100,N89,971,3,2023-06-17T12:18:58.932-03:00,1047,14
100,U56,80,1,2023-06-17T12:19:00.623-03:00,1047,14
100,V80,73,0,2023-06-17T12:19:00.622-03:00,1047,14
100,N89,967,3,2023-06-17T12:19:00.623-03:00,1047,14
100,I43,978,3,2023-06-17T12:19:00.624-03:00,1047,14
100,D16,83,0,2023-06-17T12:19:00.626-03:00,1047,14
100,J37,68,1,2023-06-17T12:19:00.624-03:00,1047,14
100,Z35,1017,2,2023-06-17T12:19:00.626-03:00,1047,14
100,X47,914,2,2023-06-17T12:19:00.626-03:00,1047,14
100,K36,1034,3,2023-06-17T12:19:00.627-03:00,1047,14
100,V80,77,0,2023-06-17T12:19:02.111-03:00,1047,14
100,D16,92,0,2023-06-17T12:19:02.113-03:00,1047,14
100,U56,84,1,2023-06-17T12:19:02.112-03:00,1047,14
100,I43,974,3,2023-06-17T12:19:02.114-03:00,1047,14
100,O21,12,1,2023-06-17T12:19:02.114-03:00,1047,14
100,X47,910,2,2023-06-17T12:19:02.114-03:00,1047,14
100,J37,68,1,2023-06-17T12:19:02.112-03:00,1047,14
100,Z35,1017,2,2023-06-17T12:19:02.115-03:00,1047,14
100,K36,1023,2,2023-06-17T12:19:02.116-03:00,1047,14
100,N89,963,3,2023-06-17T12:19:02.112-03:00,1047,14
100,Z35,1017,2,2023-06-17T12:19:03.955-03:00,1047,14
100,U56,88,1,2023-06-17T12:19:03.934-03:00,1047,14
